2023-09-22 17:26:08 T1:29.53, T2:22.72, T3:22.83, T4:22.72, T5:22.45, T6:24.82, T7:22.35, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.15, T13:22.22, T14:nan, T15:30.50, F1:0.22, F2:0.21, F3:0.21, SR1:132.98, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:14 T1:29.53, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:24.89, T7:22.35, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.15, T13:22.18, T14:nan, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:133.17, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:19 T1:29.56, T2:22.76, T3:22.83, T4:22.76, T5:22.42, T6:24.99, T7:22.35, T8:22.22, T9:22.05, T10:22.22, T11:22.18, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:131.24, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:25 T1:29.53, T2:22.69, T3:22.83, T4:22.76, T5:22.45, T6:25.02, T7:22.39, T8:22.22, T9:22.01, T10:22.18, T11:22.18, T12:22.08, T13:22.22, T14:21.30, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:131.83, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:30 T1:29.53, T2:22.72, T3:22.83, T4:22.72, T5:22.45, T6:25.13, T7:22.45, T8:22.22, T9:22.05, T10:22.22, T11:22.22, T12:22.15, T13:22.25, T14:21.30, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:132.13, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:36 T1:29.53, T2:22.76, T3:22.83, T4:22.76, T5:22.45, T6:25.23, T7:22.52, T8:22.18, T9:22.05, T10:22.22, T11:22.22, T12:22.12, T13:22.18, T14:nan, T15:30.60, F1:0.21, F2:0.21, F3:0.21, SR1:133.15, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:41 T1:29.59, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:25.29, T7:22.66, T8:22.18, T9:22.05, T10:22.22, T11:22.22, T12:22.08, T13:22.18, T14:nan, T15:30.60, F1:0.21, F2:0.21, F3:0.22, SR1:136.72, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:47 T1:29.49, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:25.40, T7:22.79, T8:22.18, T9:22.05, T10:22.22, T11:22.15, T12:22.18, T13:22.22, T14:8.60, T15:30.60, F1:0.21, F2:0.21, F3:0.21, SR1:144.47, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:52 T1:29.56, T2:22.76, T3:22.83, T4:22.72, T5:22.49, T6:25.57, T7:22.93, T8:22.22, T9:22.05, T10:22.22, T11:22.18, T12:22.12, T13:22.22, T14:21.40, T15:30.60, F1:0.22, F2:0.20, F3:0.21, SR1:149.67, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:58 T1:29.53, T2:22.72, T3:22.83, T4:22.72, T5:22.45, T6:25.70, T7:23.06, T8:22.18, T9:22.05, T10:22.22, T11:22.22, T12:22.12, T13:22.18, T14:nan, T15:30.60, F1:0.21, F2:0.21, F3:0.22, SR1:153.22, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:03 T1:29.59, T2:22.76, T3:22.79, T4:22.76, T5:22.45, T6:25.87, T7:23.20, T8:22.22, T9:22.05, T10:22.22, T11:22.22, T12:22.15, T13:22.22, T14:nan, T15:30.60, F1:0.21, F2:0.21, F3:0.21, SR1:154.98, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:09 T1:29.56, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:26.07, T7:23.27, T8:22.22, T9:22.05, T10:22.22, T11:22.25, T12:22.15, T13:22.18, T14:21.40, T15:30.60, F1:0.21, F2:0.21, F3:0.21, SR1:152.94, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:14 T1:29.53, T2:22.69, T3:22.83, T4:22.76, T5:22.49, T6:26.24, T7:23.40, T8:22.18, T9:22.05, T10:22.25, T11:22.25, T12:22.12, T13:22.22, T14:21.40, T15:30.60, F1:0.21, F2:0.21, F3:0.22, SR1:150.49, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:20 T1:29.56, T2:22.72, T3:22.83, T4:22.72, T5:22.45, T6:26.48, T7:23.47, T8:22.18, T9:22.05, T10:22.25, T11:22.22, T12:22.15, T13:22.18, T14:21.40, T15:30.60, F1:0.20, F2:0.21, F3:0.21, SR1:149.82, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:25 T1:29.56, T2:22.76, T3:22.83, T4:22.76, T5:22.49, T6:26.65, T7:23.54, T8:22.18, T9:22.05, T10:22.25, T11:22.32, T12:22.15, T13:22.18, T14:8.60, T15:30.60, F1:0.21, F2:0.22, F3:0.21, SR1:151.19, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:31 T1:29.49, T2:22.72, T3:22.83, T4:22.72, T5:22.49, T6:26.88, T7:23.57, T8:22.22, T9:22.05, T10:22.22, T11:22.29, T12:22.18, T13:22.18, T14:8.60, T15:30.60, F1:0.21, F2:0.21, F3:0.21, SR1:152.64, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:36 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.49, T6:27.09, T7:23.64, T8:22.22, T9:22.05, T10:22.25, T11:22.25, T12:22.15, T13:22.25, T14:8.60, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:153.76, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:42 T1:29.53, T2:22.76, T3:22.79, T4:22.76, T5:22.49, T6:27.26, T7:23.70, T8:22.22, T9:22.08, T10:22.25, T11:22.25, T12:22.15, T13:22.18, T14:8.60, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:152.44, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:47 T1:29.63, T2:22.72, T3:22.79, T4:22.72, T5:22.49, T6:27.46, T7:23.74, T8:22.22, T9:22.08, T10:22.25, T11:22.32, T12:22.15, T13:22.15, T14:21.40, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:151.51, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:53 T1:29.56, T2:22.72, T3:22.83, T4:22.76, T5:22.49, T6:27.60, T7:23.81, T8:22.18, T9:22.08, T10:22.29, T11:22.32, T12:22.18, T13:22.18, T14:nan, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:150.75, A:1110000.00, Circ pump counter: 0
2023-09-22 17:27:58 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.49, T6:27.77, T7:23.84, T8:22.22, T9:22.08, T10:22.25, T11:22.32, T12:22.15, T13:22.22, T14:8.60, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:151.45, A:1110000.00, Circ pump counter: 0
